"Entity","Attribute","Classword_Type","Teradata_Type","PK","Required","Description","Parent_Entity"
"SHOPPING_CART","Shopping_Cart_Name","Classword_Name","VARCHAR(100)","","N","The name for the shopping cart.",""
"SHOPPING_CART","Cart_Action_Type_Cd","Classword_Code","VARCHAR(50)","","N","This is the code for a shopping cart action type.",""
"SHOPPING_CART","Product_Id","Classword_Identifier","BIGINT","","N","The unique identifier for a marketable product that you or your competitor offers that you are interested in tracking.",""
"SHOPPING_CART","Cart_Item_Qty","Classword_Quantity","DECIMAL(18,4)","","N","This is the number of the specified item in the cart.",""
"SHOPPING_CART_EVENT","Shopping_Cart_Id","Classword_Identifier","BIGINT","","N","The unique identifier for a visitor's shopping cart. The marketing warehouse uses this parameter to identify events associated with a specific cart.","WEB_SHOPPING_EXPERIENCE_EVENT"
"SHOPPING_CART_EVENT","Shopping_Cart_Sequence_Cnt","Classword_Count","INTEGER","","N","Sequence count for shopping cart activity.","WEB_SHOPPING_EXPERIENCE_EVENT"
"SHOPPING_CART_EVENT","Shopping_Visitor_Id","Classword_Identifier","BIGINT","","N","This is the unique identifier for a visitor that is not known.","WEB_SHOPPING_EXPERIENCE_EVENT"
"SHOPPING_SOURCE_TYPE","Shopping_Source_Type_Cd","Classword_Code","VARCHAR(50)","Y","Y","This is the unique descriptor for a shopping source type.",""
"SHOPPING_SOURCE_TYPE","Shopping_Source_Type_Desc","Classword_Description","VARCHAR(500)","","N","This is the text description for a shopping source type.",""
"SHOPPING_TOOL","Shopping_Tool_Type_Cd","Classword_Code","VARCHAR(50)","","N","This is the unique descriptor for a shopping tool type.","VISITOR_INTERACTION_EVENT"
"SHOPPING_TOOL","Shopping_Tool_Zoom_Ind","Classword_Indicator","CHAR(1)","","N","This is used to indicate if the visitor used the zoom feature.  Example: - Y indicates yes otherwise the feature was not used","VISITOR_INTERACTION_EVENT"
