BVF_Data_Requirement,FSDM_Subject_Area,FSDM_Entity,Match_Confidence,Match_Method,Entity_Column_Count,Entity_Relationship_Count
Legal Actions,Party,LEGAL_ACTION_EVENT,HIGH,pattern_match,1,1
Legal Actions,Party,LEGAL_ACTION_METRIC_TYPE,HIGH,pattern_match,2,1
Legal Actions,Party,LEGAL_ACTION_OUTCOME_TYPE,HIGH,pattern_match,2,1
Legal Actions,Party,LEGAL_ACTION_PARTY_ROLE_TYPE,HIGH,pattern_match,2,1
Legal Actions,Party,LEGAL_ACTION_RECOVERY,HIGH,pattern_match,5,1
Legal Actions,Party,LEGAL_ACTION_RELATED,HIGH,pattern_match,5,1
Legal Actions,Party,LEGAL_ACTION_RELATED_TYPE,HIGH,pattern_match,2,1
Legal Actions,Party,LEGAL_ACTION_TYPE,HIGH,pattern_match,2,1
Legal Actions,Party,DRUG_NDC__GEO,MEDIUM,keyword_match,14,10
Legal Actions,Party,METROPOLITAN_STATISTICAL_AREA__GEO,MEDIUM,keyword_match,1,5
Legal Actions,Party,ORGANIZATION_NAICS__GEO,MEDIUM,keyword_match,9,4
Legal Actions,Party,CENSUS_BLOCK__GEO,MEDIUM,keyword_match,3,3
Legal Actions,Party,DESIGNATED_MARKET_AREA__GEO,MEDIUM,keyword_match,1,3
Legal Actions,Party,NAICS_INDUSTRY__GEO,MEDIUM,keyword_match,5,3
Legal Actions,Party,ORGANIZATION_SIC__GEO,MEDIUM,keyword_match,5,3
Legal Actions,Party,CENSUS_BLOCK_GROUP__GEO,MEDIUM,keyword_match,2,2
Legal Actions,Party,CENSUS_TRACT__GEO,MEDIUM,keyword_match,2,2
Legal Actions,Party,DEA_DRUG_CLASSIFICATION__GEO,MEDIUM,keyword_match,4,2
External Prospect Data / Lists,Party,DATA_SOURCE_TYPE,HIGH,pattern_match,2,27
External Prospect Data / Lists,Party,EXTERNALLY_REPORTED_CLAIM,HIGH,pattern_match,24,10
External Prospect Data / Lists,Party,PRIVACY_DATA_USAGE,HIGH,pattern_match,2,6
External Prospect Data / Lists,Party,EXTERNAL_DIRECT_DEBIT,HIGH,pattern_match,9,5
External Prospect Data / Lists,Party,EXTERNAL_STANDING_ORDER,HIGH,pattern_match,9,5
External Prospect Data / Lists,Party,EXTERNALLY_REPORTED_VEHICLE_CLAIM,HIGH,pattern_match,16,4
External Prospect Data / Lists,Party,EXTERNAL_LIST,HIGH,pattern_match,5,4
External Prospect Data / Lists,Party,EXTERNAL_AGREEMENT,HIGH,pattern_match,2,3
External Prospect Data / Lists,Party,EXTERNAL_CLAIM_LOSS_DETAIL,HIGH,pattern_match,6,3
External Prospect Data / Lists,Party,EXTERNAL_COUPON,HIGH,pattern_match,5,3
External Prospect Data / Lists,Party,DATA_QUALITY_TYPE,HIGH,pattern_match,2,3
External Prospect Data / Lists,Party,PARTY_TO_EXTERNAL_LIST,HIGH,pattern_match,3,2
External Prospect Data / Lists,Party,PRIVACY_DATA_TRANSFER,HIGH,pattern_match,6,2
External Prospect Data / Lists,Party,EXTERNALLY_REPORTED_PERSONAL_PROPERTY_CLAIM,HIGH,pattern_match,8,1
External Prospect Data / Lists,Party,EXTERNAL_AGREEMENT_TYPE,HIGH,pattern_match,2,1
External Prospect Data / Lists,Party,EXTERNAL_CLAIM_CRIME_REPORT_TYPE,HIGH,pattern_match,2,1
External Prospect Data / Lists,Party,EXTERNAL_CLAIM_FAULT_TYPE,HIGH,pattern_match,2,1
External Prospect Data / Lists,Party,EXTERNAL_CLAIM_LOSS_STATUS_TYPE,HIGH,pattern_match,2,1
External Prospect Data / Lists,Party,EXTERNAL_CLAIM_LOSS_TYPE,HIGH,pattern_match,2,1
