"Parent_Entity","Child_Entity","Cardinality","FK_Columns","Relationship_Type"
"AGREEMENT","AGREEMENT_RELATED_is_related_with","0:M","","association"
"AGREEMENT","AGREEMENT_REMEDIATION_PLAN","0:M","","association"
"AGREEMENT","AGREEMENT_RENEWAL","0:M","","association"
"AGREEMENT","AGREEMENT_REVENUE","0:M","","association"
"AGREEMENT","AGREEMENT_RISK_GRADE","0:M","","association"
"AGREEMENT","AGREEMENT_SCORE","0:M","","association"
"AGREEMENT","AGREEMENT_STATEMENT","0:M","","association"
"AGREEMENT","AGREEMENT_STATUS","0:M","","association"
"AGREEMENT","AGREEMENT_SUBJECT","0:1","","association"
"AGREEMENT","AGREEMENT_SUMMARY","0:M","","association"
"AGREEMENT","AGREEMENT_SURVEY_RESPONSE","0:M","","association"
"AGREEMENT","AGREEMENT_TAX_RULE","0:M","","association"
"AGREEMENT","AGREEMENT_TEXT","0:M","","association"
"AGREEMENT","ALERT_SETUP_FOR_AGREEMENT","0:M","","association"
"AGREEMENT","BANK_EVENT","0:M","","association"
"AGREEMENT","CAMPAIGN_AGREEMENT","0:M","","association"
"AGREEMENT","CELL_TARGET_AGREEMENT","0:M","","association"
"AGREEMENT","CHECK_BOOK","0:M","","association"
"AGREEMENT","CHECK_EVENT","0:M","","association"
"AGREEMENT","CLAIM_AUTHORIZATION","0:M","","association"
"AGREEMENT","COLLECTION_COST","0:M","","association"
"AGREEMENT","DEFAULT_OCCURRENCE","0:M","","association"
"AGREEMENT","EXTERNALLY_REPORTED_CLAIM","0:M","","association"
"AGREEMENT","EXTERNAL_DIRECT_DEBIT","0:M","","association"
"AGREEMENT","EXTERNAL_STANDING_ORDER","0:M","","association"
"AGREEMENT","HOLDING_VALUE_AT_RISK","0:M","","association"
"AGREEMENT","INTERBANK_EVENT","0:M","","association"
"AGREEMENT","INTERNAL_DIRECT_DEBIT_is_destination_for","0:M","","association"
"AGREEMENT","INTERNAL_DIRECT_DEBIT_is_source_for","0:M","","association"
"AGREEMENT","INTERNAL_STANDING_ORDER_is_destination_for","0:M","","association"
"AGREEMENT","INTERNAL_STANDING_ORDER_is_source_for","0:M","","association"
"AGREEMENT","INTRABANK_EVENT_is_counterparty_to","0:M","","association"
"AGREEMENT","INTRABANK_EVENT_is_party_to","0:M","","association"
"AGREEMENT","INVESTMENT_AGREEMENT_ALLOCATION","0:M","","association"
"AGREEMENT","NEXT_COMMUNICATION","0:M","","association"
"AGREEMENT","OPPORTUNITY_AGREEMENT","0:M","","association"
"AGREEMENT","PARTY_AGREEMENT","0:M","","association"
"AGREEMENT","PAYMENT_INSTRUCTION_AGREEMENT","0:M","","association"
"AGREEMENT","PROJECTED_CASH_FLOW","0:M","","association"
"AGREEMENT","PROPOSAL_AGREEMENT","0:M","","association"
"AGREEMENT","QUOTATION_AGREEMENT","0:M","","association"
"AGREEMENT","RISK_POSITION","0:M","","association"
"AGREEMENT","TARGET_PROMOTION_AGREEMENT","0:M","","association"
"AGREEMENT","VENDOR_PO_LINE","0:M","","association"
"AGREEMENT_ACCESS_DEVICE","AGREEMENT_ACCESS_DEVICE_FEATURE","0:M","","association"
"AGREEMENT_ACCESS_DEVICE_TYPE","AGREEMENT_ACCESS_DEVICE","0:M","","association"
"AGREEMENT_AGREEMENT_GROUP_SUBTYPE","AGREEMENT_AGREEMENT_GROUP","0:M","","association"
"AGREEMENT_APPLICATION_ROLE","AGREEMENT_APPLICATION","0:M","","association"
"AGREEMENT_ASSET","PARTY_AGREEMENT_ASSET","0:M","","association"
"AGREEMENT_ASSET_ROLE_SUBTYPE","AGREEMENT_ASSET","0:M","","association"
"AGREEMENT_BALANCE_TYPE_METRIC","PARTY_AGREEMENT_BALANCE_SUMMARY","0:M","","association"
"AGREEMENT_CHANNEL_ROLE_TYPE","AGREEMENT_CHANNEL","0:M","","association"
"AGREEMENT_CHANNEL_ROLE_TYPE","AGREEMENT_CHANNEL_TYPE","0:M","","association"
"AGREEMENT_CLAIM_RELATIONSHIP_TYPE","AGREEMENT_CLAIM","0:M","","association"
"AGREEMENT_CLASS_SCHEME_TYPE","AGREEMENT_AGREEMENT_CLASS_XREF","0:M","","association"
"AGREEMENT_CLASS_SCHEME_TYPE","AGREEMENT_CLASS_SCHEME_TYPE","0:M","","association"
"AGREEMENT_CLASS_SCHEME_TYPE","AGREEMENT_CLASS_VALUE","0:M","","association"
