Theme,Capability,Sub_Capability,Data_Requirement,FSDM_Subject_Area,FSDM_Entities
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Risk Exposures,Agreement,AGREEMENT_RISK_METRIC; RISK_EXPOSURE; CREDIT_RISK_SUMMARY
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Profitability Results,Agreement,AGREEMENT_SUMMARY; AGREEMENT_PROFITABILITY; PRODUCT_PROFITABILITY
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Account Limits,Cross Subject  -  Limits,AGREEMENT_LIMIT; LIMIT; PARTY_LIMIT
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Predictive Models - propensity to buy,Party or Agreement,ANALYTICAL_MODEL; MODEL_RUN; MODEL_SCORE; PARTY_MODEL_SCORE
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Predictive Models - attrition,Party or Agreement,ANALYTICAL_MODEL; MODEL_RUN; MODEL_SCORE; PARTY_MODEL_SCORE
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Predictive Models - price elasticity,Party or Agreement,ANALYTICAL_MODEL; MODEL_RUN; MODEL_SCORE
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Predictive Models - risk,Party or Agreement,ANALYTICAL_MODEL; MODEL_RUN; MODEL_SCORE; PARTY_LIABILITY_CREDIT_RATING
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Financial Transactions,Event,MONETARY_TRANSACTION; TRANSACTION_TYPE; FINANCIAL_TRANSACTION; PAYMENT
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight","Account Fees, Commissions & Charges",Event,MONETARY_TRANSACTION; FEE_TRANSACTION; COMMISSION_TRANSACTION; AGREEMENT_FEE
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Non-Financial Transactions,Event,EVENT; NON_MONETARY_EVENT; DIRECT_CONTACT_EVENT
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Offline Customer Interactions - Branch,Event,DIRECT_CONTACT_EVENT; BRANCH_VISIT_EVENT; CHANNEL_INSTANCE
