"Parent","Child","Cardinality","FK_Columns","Relationship_Name"
"CREDIT STATUS TYPE","PARTY LIABILITY CREDIT RATING","1:M","Credit Status Cd","CREDIT STATUS TYPE -> PARTY LIABILITY CREDIT RATING"
"DEBT RECEIVABLE AGREEMENT TYPE","PURCHASED RECEIVABLE ISSUER AGREEMENT","1:M","Debt Receivable Agreement Type Cd","DEBT RECEIVABLE AGREEMENT TYPE -> PURCHASED RECEIVABLE ISSUER AGREEMENT"
"DIRECT CONTACT EVENT","PARTY","1:M","Contact Follow-up Cd","DIRECT CONTACT EVENT -> PARTY"
"DWELLING TYPE","STREET ADDRESS","1:M","Dwelling Type Cd","DWELLING TYPE -> STREET ADDRESS"
"DWELLING TYPE","STREET ADDRESS JAPAN","1:M","Dwelling Type Cd","DWELLING TYPE -> STREET ADDRESS JAPAN"
"ENVELOPE MESSAGE TYPE","STATEMENT","1:M","Envelope Message Type Cd","ENVELOPE MESSAGE TYPE -> STATEMENT"
"FINANCIAL AGREEMENT TYPE JAPAN","FINANCIAL AGREEMENT JAPAN","1:M","Financial Agreement Type Cd","FINANCIAL AGREEMENT TYPE JAPAN -> FINANCIAL AGREEMENT JAPAN"
"FINANCIAL INSTITUTION INTERNAL ORGANIZATION","ASSUMPTION SET","1:M","Organization Num","FINANCIAL INSTITUTION INTERNAL ORGANIZATION -> ASSUMPTION SET"
"FINANCIAL INSTITUTION TYPE","TRADE SETTLE PHYSICAL DELIVERY","1:M","Financial Institution Type Cd","FINANCIAL INSTITUTION TYPE -> TRADE SETTLE PHYSICAL DELIVERY"
"FINANCIAL ITEM STATUS REASON","COA CODE BALANCE","1:M","Financial Item Status Reason Cd","FINANCIAL ITEM STATUS REASON -> COA CODE BALANCE"
"FIXED INTEREST RATE FEATURE","FORWARD RATE AGREEMENT","1:M","Fixed Interest Rate","FIXED INTEREST RATE FEATURE -> FORWARD RATE AGREEMENT"
"FUTURES AGREEMENT","CONTRACT SETTLEMENT TYPE","1:M","Contract Settlement Type ID","FUTURES AGREEMENT -> CONTRACT SETTLEMENT TYPE"
"FUTURES AGREEMENT","FORWARD CONTRACT","1:M","Contract Settlement Type ID","FUTURES AGREEMENT -> FORWARD CONTRACT"
"GEOSPATIAL POINT","INTERNET PROTOCOL ADDRESS GEOGRAPHICAL MAP","1:M","Latitude Meas","GEOSPATIAL POINT -> INTERNET PROTOCOL ADDRESS GEOGRAPHICAL MAP"
"HR POSITION SITE REASON","AD ORDER MAKE GOOD REFUND","1:M","Letter","HR POSITION SITE REASON -> AD ORDER MAKE GOOD REFUND"
"HR POSITION SITE REASON","AD PLACEMENT PRINT MEDIUM","1:M","Letter","HR POSITION SITE REASON -> AD PLACEMENT PRINT MEDIUM"
"HR POSITION SITE REASON","AGREEMENT CHANNEL TYPE","1:M","Letter","HR POSITION SITE REASON -> AGREEMENT CHANNEL TYPE"
"HR POSITION SITE REASON","ALERT SETUP NOTIFICATION LOCATOR","1:M","Letter","HR POSITION SITE REASON -> ALERT SETUP NOTIFICATION LOCATOR"
"HR POSITION SITE REASON","ANALYTICAL MODEL TO GROUP","1:M","Letter","HR POSITION SITE REASON -> ANALYTICAL MODEL TO GROUP"
"HR POSITION SITE REASON","BASEL III CAPITAL TYPE","1:M","Letter","HR POSITION SITE REASON -> BASEL III CAPITAL TYPE"
